ingredient,allergens,dietary_mentions,source,lead_time,quantity,unit,cost,reference_cost,nutrition
Flours,,,,,,,,,
Belbake Plain Flour,,,Lidl,0 Days,1.5,Kg,£0.79,£0.000527,
Morrisons Plain Flour  Discount,,,Morrisons,,1.5,Kg,£0.59,£0.000393,#N/A
FREEE Gluten Free Flour,,,TBC,1 Day,1,kg,£2.00,£0.002000,
Grains,,,,,,,,,
Lidl Scottish Oats,,,Lidl,0 Days,1,kg,£1.15,£0.001150,
Morrisons Free From Gluten Free Oats,,,Morrisons,,1,kg,£2.82,£0.002820,
Alcohol,,,,,,,,,
Lidl Vodka,,,Lidl,,1,L,£16.99,£0.016990,
,,,,,,,£2.82,#N/A,
Liquid,,,,,,,,,
Water,,,,,,,£0.00,£0.000000,
,,,,,,,,,
Dairy,,,,,,,,,
Dairy Manor British Semi-Skimmed Milk,,,Lidl,0 Days,6,pints,£2.15,£0.000631,
Dairy Manor British Whole Milk,,,Lidl,0 Days,6,pints,£2.15,£0.000631,
Dairy Manor Unsalted Butter,,,Lidl,0 Days,250,g,£1.79,£0.007160,
Morrisons Unsalted British Butter  Discount,,,Morrisons,,250,g,£1.32,£0.005280,#N/A
Dairy Manor Salted Butter,,,Lidl,1 Days,250,g,£1.79,£0.007160,
Mixed Size Free Range Eggs,,,Lidl,0 Days,15,pcs,£2.50,£0.166667,
Sour Cream,Dairy,None,Lidl,0 Days,300,mL,£1.00,£0.003333,
heavy Cream,,,,,300,ml,£1.20,£0.004000,
Cream Cheese,,,,,200,g,£0.85,£0.004250,
Milbona Condensed Milk,Dairy,,Lidl,0 Days,397,g,£1.00,£0.002519,
Dairy Alternatives,,,,,,,,,
Minor Figures Oat Milk Barista Standard  Discount,,,Morrisons,,1,L,£1.00,£0.001000,#VALUE!
Vegan Butter,,,,,250,g,£1.00,£0.004000,
Alpro Vegan Greek Yoghurt,,,,,400,g,£2.10,£0.005250,
Fats,,,,,,,,,
Vegetable Oil,,,Lidl,0 Days,3,L,£5.00,£0.001667,
Coconut Oil,,,ASDA,,500,ml,£2.15,£0.004300,
,,,,,,,,#N/A,
,,,,,,,,#N/A,
Vinegars,,,,,,,,,
Batts Apple Cider Vinegar,,,,,500,ml,£2.19,£0.004380,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Rising Agents,,,,,,,,,
Belbake Baking Powder,,,Lidl,0 Days,170,g,£0.65,£0.003824,
Belbake Bicarbonate of Soda,,,Lidl,0 Days,200,g,£0.65,£0.003250,
Morrisons Bicarbonate Of Soda Powder  Discount,,,Morrisons,,180,g,£0.45,£0.002500,#N/A
Belbake Dried Yeast,,,Lidl,0 Days,42,g,£0.65,£0.015476,
Thickening Agents,,,,,,,,,
Belbake Cornflour,,,Lidl,0 Days,400,g,£1.25,£0.003125,
Xantham  Gum,,,,,,,,#N/A,
,,,,,,,,#N/A,
Sugar / Sweeteners,,,,,,,,,
Belbake Granulated Sugar,,,Lidl,0 Days,1,Kg,£1.09,£0.001090,
Silver Spoon Granulated Sugar  Discount,,,Morrisons,,2,Kg,£1.61,£0.000803,
Belbake Icing Sugar,,,Lidl,0 Days,500,g,£0.89,£0.001780,
Belbake Caster Sugar,,,Lidl,0 Days,1,kg,£1.49,£0.001490,
Belbake Fairtrade Light Brown Soft Sugar,,,Lidl,0 Days,1,kg,£1.99,£0.001990,
Belbake Dark Brown Soft Sugar,,,Lidl,0 Days,1,kg,£2.09,£0.002090,
Belbake Demara Sugar,,,Lidl,0 Days,1,kg,£1.99,£0.001990,
Maple Syrup,,,Costco,,1,L,£10.99,£0.010990,
Speciality / Addins / Toppings,,,,,,,,,
San Fransisco Sourdough Pretzels,,,Costco,0 Days,1.47,kg,£8.49,£0.005776,
Sainsbury's Pretzels,,,Sainsbury's,,350,g,£2.15,£0.006143,
Culinary Grade Lavender ,,,Amazon,1 Day,225,g,£13.99,£0.062178,
Skippy Smooth Peanut Butter,,,Costco,0 Days,1.13,kg,£7.39,£0.006540,
Skippy Extra Crunchy Super Crunch Peanut Butter,,,Costco,0 Days,1.13,kg,£7.39,£0.006540,
Hides Milk Chocolate Chips,,,Amazon,1 Day,1,kg,£12.85,£0.012850,
Hides White Chocolate Chips,,,Amazon,1 Day,1,kg,£12.85,£0.012850,
Milk Chcolate Chunks (Real Food Source),,,Real Food Source,,1,kg,£8.49,£0.008490,
White Chcolate Chunks (Real Food Source),,,Real Food Source,,1,kg,£8.49,£0.008490,
Dark Chcolate Chunks (Real Food Source),,,Real Food Source,,1,kg,£7.99,£0.007990,
ASDA Dark Chocolate Chips,,,Asda,,100,g,£0.69,£0.006900,
ASDA Ground Almonds,,,Asda,,150,g,£1.08,£0.007200,
Towergate Digestives,,,Lidl,0 Days,300,g,£0.75,£0.002500,
Belbake Fine Shredded Coconut,,,Lidl,0 Days,250,g,£1.00,£0.004000,
Carrots,,,Lidl,,1.5,kg,£0.79,£0.000527,
Oreos,,,Tesco,,14,pcs,£1.20,£0.085714,
Coarse Sugar / Sugar Nibs,,,Amazon,,800,g,£6.35,£0.007938,
Cranberries (dried),,,Amazon,,1000,g,£6.99,£0.006990,
Flaxseed (Ground),,,Real Food Source,,2500,g,£8.49,£0.003396,
Raisins,,,Real Food Source,,2.5,kg,£12.99,£0.005196,
Pumpkin Puree,,,Sainsburys,,425,g,£2.00,£0.004706,
Almonds,,,Real Food Source,,1.00,kg,£7.85,£0.007850,
Walnuts,,,Lidl,,180.00,g,£1.49,£0.008278,
Marshmallows,,,Amazon,,1,kg,£13.02,£0.013020,
Yellow Cake Mix,,,Lidl,,400,g,£0.79,£0.001975,
Sprinkles,,,Lidl,,70,g,£0.99,£0.014143,
